시간,품목,생산필요량,재고,생산량,수주량
2022.3.15 14:00,GEAR_21,0,100,150,200
2022.3.15 16:00,GEAR_42,0,200,200,200
2022.3.15 17:00,GEAR_21,0,250,150,200
2022.3.15 20:00,GEAR_42,0,400,200,200
2022.3.16 8:00,GEAR_21,300,250,0,300
2022.3.16 8:00,GEAR_42,200,400,0,200
2022.3.16 11:00,GEAR_21,0,0,150,300
2022.3.16 12:00,GEAR_42,0,0,200,200
2022.3.16 14:00,GEAR_21,0,0,150,300
2022.3.16 16:00,GEAR_42,0,200,200,200
2022.3.16 17:00,GEAR_21,0,150,150,300
2022.3.16 20:00,GEAR_42,0,400,200,200
2022.3.17 8:00,GEAR_21,300,150,0,300
2022.3.17 8:00,GEAR_42,300,400,0,300
2022.3.17 11:00,GEAR_21,0,0,150,300
2022.3.17 12:00,GEAR_42,0,0,200,300
2022.3.17 14:00,GEAR_21,0,0,150,300
2022.3.17 16:00,GEAR_42,0,100,200,300
2022.3.17 17:00,GEAR_21,0,150,150,300
2022.3.17 20:00,GEAR_42,0,300,200,300
2022.3.18 8:00,GEAR_42,100,300,0,100
2022.3.18 8:00,GEAR_21,200,150,0,200
2022.3.18 11:00,GEAR_21,0,0,150,200
2022.3.18 12:00,GEAR_42,0,100,200,100
2022.3.18 14:00,GEAR_21,0,100,150,200
2022.3.18 16:00,GEAR_42,0,300,200,100
2022.3.18 17:00,GEAR_21,0,250,150,200
2022.3.18 20:00,GEAR_42,0,500,200,100
2022.3.21 8:00,GEAR_21,200,250,0,200
2022.3.21 8:00,GEAR_42,400,500,0,400
2022.3.21 11:00,GEAR_21,0,0,150,200
2022.3.21 12:00,GEAR_42,0,0,200,400
2022.3.21 14:00,GEAR_21,0,100,150,200
2022.3.21 16:00,GEAR_42,0,0,200,400
2022.3.21 17:00,GEAR_21,0,250,150,200
2022.3.21 20:00,GEAR_42,0,200,200,400
2022.3.22 8:00,GEAR_42,200,200,0,200
2022.3.22 8:00,GEAR_21,300,250,0,300
2022.3.22 11:00,GEAR_21,0,0,150,300
2022.3.22 12:00,GEAR_42,0,0,200,200
2022.3.22 14:00,GEAR_21,0,0,150,300
2022.3.22 16:00,GEAR_42,0,200,200,200
2022.3.22 17:00,GEAR_21,0,150,150,300
2022.3.22 20:00,GEAR_42,0,400,200,200
2022.3.23 8:00,GEAR_21,200,150,0,200
2022.3.23 8:00,GEAR_42,200,400,0,200
2022.3.23 11:00,GEAR_21,0,0,150,200
2022.3.23 12:00,GEAR_42,0,0,200,200
2022.3.23 14:00,GEAR_21,0,100,150,200
2022.3.23 16:00,GEAR_42,0,200,200,200
2022.3.23 17:00,GEAR_21,0,250,150,200
2022.3.23 20:00,GEAR_42,0,400,200,200
2022.3.24 8:00,GEAR_42,100,400,0,100
2022.3.24 8:00,GEAR_21,150,250,0,150
2022.3.24 11:00,GEAR_21,0,0,150,150
2022.3.24 12:00,GEAR_42,0,100,200,100
2022.3.24 14:00,GEAR_21,0,150,150,150
2022.3.24 16:00,GEAR_42,0,300,200,100
2022.3.24 17:00,GEAR_21,0,300,150,150
2022.3.24 20:00,GEAR_42,0,500,200,100
2022.3.25 8:00,GEAR_42,100,500,0,100
2022.3.25 8:00,GEAR_21,150,300,0,150
2022.3.25 11:00,GEAR_21,0,0,150,150
2022.3.25 12:00,GEAR_42,0,100,200,100
2022.3.25 14:00,GEAR_21,0,150,150,150
2022.3.25 16:00,GEAR_42,0,300,200,100
2022.3.25 17:00,GEAR_21,0,300,150,150
2022.3.25 20:00,GEAR_42,0,500,200,100
2022.3.28 8:00,GEAR_42,200,500,0,200
2022.3.28 8:00,GEAR_21,200,300,0,200
2022.3.28 11:00,GEAR_21,0,0,150,200
2022.3.28 12:00,GEAR_42,0,0,200,200
2022.3.28 14:00,GEAR_21,0,100,150,200
2022.3.28 16:00,GEAR_42,0,200,200,200
2022.3.28 17:00,GEAR_21,0,250,150,200
2022.3.28 20:00,GEAR_42,0,400,200,200
2022.3.29 8:00,GEAR_21,200,250,0,200
2022.3.29 8:00,GEAR_42,400,400,0,400
2022.3.29 11:00,GEAR_21,0,0,150,200
2022.3.29 12:00,GEAR_42,0,0,200,400
2022.3.29 14:00,GEAR_21,0,100,150,200
2022.3.29 16:00,GEAR_42,0,0,200,400
2022.3.29 17:00,GEAR_21,0,250,150,200
2022.3.29 20:00,GEAR_42,0,200,200,400
2022.3.30 8:00,GEAR_21,200,250,0,200
2022.3.30 8:00,GEAR_42,400,200,0,400
2022.3.30 11:00,GEAR_21,0,0,150,200
2022.3.30 12:00,GEAR_42,0,0,200,400
2022.3.30 14:00,GEAR_21,0,100,150,200
2022.3.30 16:00,GEAR_42,0,0,200,400
2022.3.30 17:00,GEAR_21,0,250,150,200
2022.3.30 20:00,GEAR_42,0,200,200,400
2022.3.31 8:00,GEAR_42,400,200,0,400
2022.3.31 8:00,GEAR_21,300,250,0,300
2022.3.31 11:00,GEAR_21,0,0,150,300
2022.3.31 12:00,GEAR_42,0,0,200,400
2022.3.31 14:00,GEAR_21,0,0,150,300
2022.3.31 16:00,GEAR_42,0,0,200,400
2022.3.31 17:00,GEAR_21,0,150,150,300
2022.3.31 20:00,GEAR_42,0,200,200,400
2022.4.1 8:00,GEAR_21,100,150,0,100
2022.4.1 8:00,GEAR_42,100,200,0,100
2022.4.1 11:00,GEAR_21,0,50,150,100
2022.4.1 12:00,GEAR_42,0,100,200,100
2022.4.1 14:00,GEAR_21,0,200,150,100
2022.4.1 16:00,GEAR_42,0,300,200,100
2022.4.1 17:00,GEAR_21,0,350,150,100
2022.4.1 20:00,GEAR_42,0,500,200,100
2022.4.4 8:00,GEAR_42,400,500,0,400
2022.4.4 8:00,GEAR_21,200,350,0,200
2022.4.4 11:00,GEAR_21,0,0,150,200
2022.4.4 12:00,GEAR_42,0,0,200,400
2022.4.4 14:00,GEAR_21,0,100,150,200
2022.4.4 16:00,GEAR_42,0,0,200,400
2022.4.4 17:00,GEAR_21,0,250,150,200
2022.4.4 20:00,GEAR_42,0,200,200,400
2022.4.5 8:00,GEAR_21,200,250,0,200
2022.4.5 8:00,GEAR_42,400,200,0,400
2022.4.5 11:00,GEAR_21,0,0,150,200
2022.4.5 12:00,GEAR_42,0,0,200,400
2022.4.5 14:00,GEAR_21,0,100,150,200
2022.4.5 16:00,GEAR_42,0,0,200,400
2022.4.5 17:00,GEAR_21,0,250,150,200
2022.4.5 20:00,GEAR_42,0,200,200,400
2022.4.6 8:00,GEAR_42,100,200,0,100
2022.4.6 8:00,GEAR_21,300,250,0,300
2022.4.6 11:00,GEAR_21,0,0,150,300
2022.4.6 12:00,GEAR_42,0,100,200,100
2022.4.6 14:00,GEAR_21,0,0,150,300
2022.4.6 16:00,GEAR_42,0,300,200,100
2022.4.6 17:00,GEAR_21,0,150,150,300
2022.4.6 20:00,GEAR_42,0,500,200,100
2022.4.7 8:00,GEAR_42,400,500,0,400
2022.4.7 8:00,GEAR_21,150,150,0,150
2022.4.7 11:00,GEAR_21,0,0,150,150
2022.4.7 12:00,GEAR_42,0,0,200,400
2022.4.7 14:00,GEAR_21,0,150,150,150
2022.4.7 16:00,GEAR_42,0,0,200,400
2022.4.7 17:00,GEAR_21,0,300,150,150
2022.4.7 20:00,GEAR_42,0,200,200,400
2022.4.8 8:00,GEAR_21,200,300,0,200
2022.4.8 8:00,GEAR_42,400,200,0,400
2022.4.8 11:00,GEAR_21,0,0,150,200
2022.4.8 12:00,GEAR_42,0,0,200,400
2022.4.8 14:00,GEAR_21,0,100,150,200
2022.4.8 16:00,GEAR_42,0,0,200,400
2022.4.8 17:00,GEAR_21,0,250,150,200
2022.4.8 20:00,GEAR_42,0,200,200,400
2022.4.11 8:00,GEAR_42,300,200,0,300
2022.4.11 8:00,GEAR_21,150,250,0,150
2022.4.11 11:00,GEAR_21,0,0,150,150
2022.4.11 12:00,GEAR_42,0,0,200,300
2022.4.11 14:00,GEAR_21,0,150,150,150
2022.4.11 16:00,GEAR_42,0,100,200,300
2022.4.11 17:00,GEAR_21,0,300,150,150
2022.4.11 20:00,GEAR_42,0,300,200,300
2022.4.12 8:00,GEAR_42,300,300,0,300
2022.4.12 8:00,GEAR_21,200,300,0,200
2022.4.12 11:00,GEAR_21,0,0,150,200
2022.4.12 12:00,GEAR_42,0,0,200,300
2022.4.12 14:00,GEAR_21,0,100,150,200
2022.4.12 16:00,GEAR_42,0,100,200,300
2022.4.12 17:00,GEAR_21,0,250,150,200
2022.4.12 20:00,GEAR_42,0,300,200,300
2022.4.13 8:00,GEAR_42,400,300,0,400
2022.4.13 8:00,GEAR_21,200,250,0,200
2022.4.13 11:00,GEAR_21,0,0,150,200
2022.4.13 12:00,GEAR_42,0,0,200,400
2022.4.13 14:00,GEAR_21,0,100,150,200
2022.4.13 16:00,GEAR_42,0,0,200,400
2022.4.13 17:00,GEAR_21,0,250,150,200
2022.4.13 20:00,GEAR_42,0,200,200,400
2022.4.14 8:00,GEAR_21,150,250,0,150
2022.4.14 8:00,GEAR_42,100,200,0,100
2022.4.14 11:00,GEAR_21,0,0,150,150
2022.4.14 12:00,GEAR_42,0,100,200,100
2022.4.14 14:00,GEAR_21,0,150,150,150
2022.4.14 16:00,GEAR_42,0,300,200,100
2022.4.14 17:00,GEAR_21,0,300,150,150
2022.4.14 20:00,GEAR_42,0,500,200,100
2022.4.15 8:00,GEAR_21,150,300,0,150
2022.4.15 8:00,GEAR_42,400,500,0,400
2022.4.15 11:00,GEAR_21,0,0,150,150
2022.4.15 12:00,GEAR_42,0,0,200,400
2022.4.15 14:00,GEAR_21,0,150,150,150
2022.4.15 16:00,GEAR_42,0,0,200,400
2022.4.15 17:00,GEAR_21,0,300,150,150
2022.4.15 20:00,GEAR_42,0,200,200,400
2022.4.18 8:00,GEAR_42,400,200,0,400
2022.4.18 8:00,GEAR_21,300,300,0,300
2022.4.18 11:00,GEAR_21,0,0,150,300
2022.4.18 12:00,GEAR_42,0,0,200,400
2022.4.18 14:00,GEAR_21,0,0,150,300
2022.4.18 16:00,GEAR_42,0,0,200,400
2022.4.18 17:00,GEAR_21,0,150,150,300
2022.4.18 20:00,GEAR_42,0,200,200,400
2022.4.19 8:00,GEAR_42,300,200,0,300
2022.4.19 8:00,GEAR_21,300,150,0,300
2022.4.19 11:00,GEAR_21,0,0,150,300
2022.4.19 12:00,GEAR_42,0,0,200,300
2022.4.19 14:00,GEAR_21,0,0,150,300
2022.4.19 16:00,GEAR_42,0,100,200,300
2022.4.19 17:00,GEAR_21,0,150,150,300
2022.4.19 20:00,GEAR_42,0,300,200,300
2022.4.20 8:00,GEAR_42,200,300,0,200
2022.4.20 8:00,GEAR_21,150,150,0,150
2022.4.20 11:00,GEAR_21,0,0,150,150
2022.4.20 12:00,GEAR_42,0,0,200,200
2022.4.20 14:00,GEAR_21,0,150,150,150
2022.4.20 16:00,GEAR_42,0,200,200,200
2022.4.20 17:00,GEAR_21,0,300,150,150
2022.4.20 20:00,GEAR_42,0,400,200,200
2022.4.21 8:00,GEAR_21,200,300,0,200
2022.4.21 8:00,GEAR_42,100,400,0,100
2022.4.21 11:00,GEAR_21,0,0,150,200
2022.4.21 12:00,GEAR_42,0,100,200,100
2022.4.21 14:00,GEAR_21,0,100,150,200
2022.4.21 16:00,GEAR_42,0,300,200,100
2022.4.21 17:00,GEAR_21,0,250,150,200
2022.4.21 20:00,GEAR_42,0,500,200,100
2022.4.22 8:00,GEAR_21,150,250,0,150
2022.4.22 8:00,GEAR_42,300,500,0,300
2022.4.22 11:00,GEAR_21,0,0,150,150
2022.4.22 12:00,GEAR_42,0,0,200,300
2022.4.22 14:00,GEAR_21,0,150,150,150
2022.4.22 16:00,GEAR_42,0,100,200,300
2022.4.22 17:00,GEAR_21,0,300,150,150
2022.4.22 20:00,GEAR_42,0,300,200,300
2022.4.25 8:00,GEAR_21,200,300,0,200
2022.4.25 8:00,GEAR_42,400,300,0,400
2022.4.25 11:00,GEAR_21,0,0,150,200
2022.4.25 12:00,GEAR_42,0,0,200,400
2022.4.25 14:00,GEAR_21,0,100,150,200
2022.4.25 16:00,GEAR_42,0,0,200,400
2022.4.25 17:00,GEAR_21,0,250,150,200
2022.4.25 20:00,GEAR_42,0,200,200,400
2022.4.26 8:00,GEAR_21,100,250,0,100
2022.4.26 8:00,GEAR_42,100,200,0,100
2022.4.26 11:00,GEAR_21,0,50,150,100
2022.4.26 12:00,GEAR_42,0,100,200,100
2022.4.26 14:00,GEAR_21,0,200,150,100
2022.4.26 16:00,GEAR_42,0,300,200,100
2022.4.26 17:00,GEAR_21,0,350,150,100
2022.4.26 20:00,GEAR_42,0,500,200,100
2022.4.27 8:00,GEAR_42,400,500,0,400
2022.4.27 8:00,GEAR_21,200,350,0,200
2022.4.27 11:00,GEAR_21,0,0,150,200
2022.4.27 12:00,GEAR_42,0,0,200,400
2022.4.27 14:00,GEAR_21,0,100,150,200
2022.4.27 16:00,GEAR_42,0,0,200,400
2022.4.27 17:00,GEAR_21,0,250,150,200
2022.4.27 20:00,GEAR_42,0,200,200,400
2022.4.28 8:00,GEAR_42,200,200,0,200
2022.4.28 8:00,GEAR_21,200,250,0,200
2022.4.28 11:00,GEAR_21,0,0,150,200
2022.4.28 12:00,GEAR_42,0,0,200,200
2022.4.28 14:00,GEAR_21,0,100,150,200
2022.4.28 16:00,GEAR_42,0,200,200,200
2022.4.28 17:00,GEAR_21,0,250,150,200
2022.4.28 20:00,GEAR_42,0,400,200,200
2022.4.29 8:00,GEAR_42,400,400,0,400
2022.4.29 8:00,GEAR_21,200,250,0,200
2022.4.29 11:00,GEAR_21,0,0,150,200
2022.4.29 12:00,GEAR_42,0,0,200,400
2022.4.29 14:00,GEAR_21,0,100,150,200
2022.4.29 16:00,GEAR_42,0,0,200,400
2022.4.29 17:00,GEAR_21,0,250,150,200
2022.4.29 20:00,GEAR_42,0,200,200,400
2022.5.2 8:00,GEAR_42,400,200,0,400
2022.5.2 8:00,GEAR_21,300,250,0,300
2022.5.2 11:00,GEAR_21,0,0,150,300
2022.5.2 12:00,GEAR_42,0,0,200,400
2022.5.2 14:00,GEAR_21,0,0,150,300
2022.5.2 16:00,GEAR_42,0,0,200,400
2022.5.2 17:00,GEAR_21,0,150,150,300
2022.5.2 20:00,GEAR_42,0,200,200,400
2022.5.3 8:00,GEAR_42,100,200,0,100
2022.5.3 8:00,GEAR_21,200,150,0,200
2022.5.3 11:00,GEAR_21,0,0,150,200
2022.5.3 12:00,GEAR_42,0,100,200,100
2022.5.3 14:00,GEAR_21,0,100,150,200
2022.5.3 16:00,GEAR_42,0,300,200,100
2022.5.3 17:00,GEAR_21,0,250,150,200
2022.5.3 20:00,GEAR_42,0,500,200,100
2022.5.4 8:00,GEAR_21,200,250,0,200
2022.5.4 8:00,GEAR_42,400,500,0,400
2022.5.4 11:00,GEAR_21,0,0,150,200
2022.5.4 12:00,GEAR_42,0,0,200,400
2022.5.4 14:00,GEAR_21,0,100,150,200
2022.5.4 16:00,GEAR_42,0,0,200,400
2022.5.4 17:00,GEAR_21,0,250,150,200
2022.5.4 20:00,GEAR_42,0,200,200,400
2022.5.5 8:00,GEAR_21,200,250,0,200
2022.5.5 8:00,GEAR_42,100,200,0,100
2022.5.5 11:00,GEAR_21,0,0,150,200
2022.5.5 12:00,GEAR_42,0,100,200,100
2022.5.5 14:00,GEAR_21,0,100,150,200
2022.5.5 16:00,GEAR_42,0,300,200,100
2022.5.5 17:00,GEAR_21,0,250,150,200
2022.5.5 20:00,GEAR_42,0,500,200,100
2022.5.6 8:00,GEAR_42,100,500,0,100
2022.5.6 8:00,GEAR_21,300,250,0,300
2022.5.6 11:00,GEAR_21,0,0,150,300
2022.5.6 12:00,GEAR_42,0,100,200,100
2022.5.6 14:00,GEAR_21,0,0,150,300
2022.5.6 16:00,GEAR_42,0,300,200,100
2022.5.6 17:00,GEAR_21,0,150,150,300
2022.5.6 20:00,GEAR_42,0,500,200,100
2022.5.9 8:00,GEAR_42,400,500,0,400
2022.5.9 8:00,GEAR_21,300,150,0,300
2022.5.9 11:00,GEAR_21,0,0,150,300
2022.5.9 12:00,GEAR_42,0,0,200,400
2022.5.9 14:00,GEAR_21,0,0,150,300
2022.5.9 16:00,GEAR_42,0,0,200,400
2022.5.9 17:00,GEAR_21,0,150,150,300
2022.5.9 20:00,GEAR_42,0,200,200,400
2022.5.10 8:00,GEAR_42,400,200,0,400
2022.5.10 8:00,GEAR_21,150,150,0,150
2022.5.10 11:00,GEAR_21,0,0,150,150
2022.5.10 12:00,GEAR_42,0,0,200,400
2022.5.10 14:00,GEAR_21,0,150,150,150
2022.5.10 16:00,GEAR_42,0,0,200,400
2022.5.10 17:00,GEAR_21,0,300,150,150
2022.5.10 20:00,GEAR_42,0,200,200,400
2022.5.11 8:00,GEAR_42,400,200,0,400
2022.5.11 8:00,GEAR_21,100,300,0,100
2022.5.11 11:00,GEAR_21,0,50,150,100
2022.5.11 12:00,GEAR_42,0,0,200,400
2022.5.11 14:00,GEAR_21,0,200,150,100
2022.5.11 16:00,GEAR_42,0,0,200,400
2022.5.11 17:00,GEAR_21,0,350,150,100
2022.5.11 20:00,GEAR_42,0,200,200,400
2022.5.12 8:00,GEAR_21,150,350,0,150
2022.5.12 8:00,GEAR_42,300,200,0,300
2022.5.12 11:00,GEAR_21,0,0,150,150
2022.5.12 12:00,GEAR_42,0,0,200,300
2022.5.12 14:00,GEAR_21,0,150,150,150
2022.5.12 16:00,GEAR_42,0,100,200,300
2022.5.12 17:00,GEAR_21,0,300,150,150
2022.5.12 20:00,GEAR_42,0,300,200,300
2022.5.13 8:00,GEAR_21,150,300,0,150
2022.5.13 8:00,GEAR_42,400,300,0,400
2022.5.13 11:00,GEAR_21,0,0,150,150
2022.5.13 12:00,GEAR_42,0,0,200,400
2022.5.13 14:00,GEAR_21,0,150,150,150
2022.5.13 16:00,GEAR_42,0,0,200,400
2022.5.13 17:00,GEAR_21,0,300,150,150
2022.5.13 20:00,GEAR_42,0,200,200,400
2022.5.16 8:00,GEAR_42,100,200,0,100
2022.5.16 8:00,GEAR_21,150,300,0,150
2022.5.16 11:00,GEAR_21,0,0,150,150
2022.5.16 12:00,GEAR_42,0,100,200,100
2022.5.16 14:00,GEAR_21,0,150,150,150
2022.5.16 16:00,GEAR_42,0,300,200,100
2022.5.16 17:00,GEAR_21,0,300,150,150
2022.5.16 20:00,GEAR_42,0,500,200,100
2022.5.17 8:00,GEAR_42,200,500,0,200
2022.5.17 8:00,GEAR_21,300,300,0,300
2022.5.17 11:00,GEAR_21,0,0,150,300
2022.5.17 12:00,GEAR_42,0,0,200,200
2022.5.17 14:00,GEAR_21,0,0,150,300
2022.5.17 16:00,GEAR_42,0,200,200,200
2022.5.17 17:00,GEAR_21,0,150,150,300
2022.5.17 20:00,GEAR_42,0,400,200,200
2022.5.18 8:00,GEAR_21,200,150,0,200
2022.5.18 8:00,GEAR_42,100,400,0,100
2022.5.18 11:00,GEAR_21,0,0,150,200
2022.5.18 12:00,GEAR_42,0,100,200,100
2022.5.18 14:00,GEAR_21,0,100,150,200
2022.5.18 16:00,GEAR_42,0,300,200,100
2022.5.18 17:00,GEAR_21,0,250,150,200
2022.5.18 20:00,GEAR_42,0,500,200,100
2022.5.19 8:00,GEAR_42,100,500,0,100
2022.5.19 8:00,GEAR_21,100,250,0,100
2022.5.19 11:00,GEAR_21,0,50,150,100
2022.5.19 12:00,GEAR_42,0,100,200,100
2022.5.19 14:00,GEAR_21,0,200,150,100
2022.5.19 16:00,GEAR_42,0,300,200,100
2022.5.19 17:00,GEAR_21,0,350,150,100
2022.5.19 20:00,GEAR_42,0,500,200,100
2022.5.20 8:00,GEAR_42,400,500,0,400
2022.5.20 8:00,GEAR_21,300,350,0,300
2022.5.20 11:00,GEAR_21,0,0,150,300
2022.5.20 12:00,GEAR_42,0,0,200,400
2022.5.20 14:00,GEAR_21,0,0,150,300
2022.5.20 16:00,GEAR_42,0,0,200,400
2022.5.20 17:00,GEAR_21,0,150,150,300
2022.5.20 20:00,GEAR_42,0,200,200,400
2022.5.23 8:00,GEAR_42,400,200,0,400
2022.5.23 8:00,GEAR_21,300,150,0,300
2022.5.23 11:00,GEAR_21,0,0,150,300
2022.5.23 12:00,GEAR_42,0,0,200,400
2022.5.23 14:00,GEAR_21,0,0,150,300
2022.5.23 16:00,GEAR_42,0,0,200,400
2022.5.23 17:00,GEAR_21,0,150,150,300
2022.5.23 20:00,GEAR_42,0,200,200,400
2022.5.24 8:00,GEAR_42,400,200,0,400
2022.5.24 8:00,GEAR_21,300,150,0,300
2022.5.24 11:00,GEAR_21,0,0,150,300
2022.5.24 12:00,GEAR_42,0,0,200,400
2022.5.24 14:00,GEAR_21,0,0,150,300
2022.5.24 16:00,GEAR_42,0,0,200,400
2022.5.24 17:00,GEAR_21,0,150,150,300
2022.5.24 20:00,GEAR_42,0,200,200,400
2022.5.25 8:00,GEAR_42,200,200,0,200
2022.5.25 8:00,GEAR_21,200,150,0,200
2022.5.25 11:00,GEAR_21,0,0,150,200
2022.5.25 12:00,GEAR_42,0,0,200,200
2022.5.25 14:00,GEAR_21,0,100,150,200
2022.5.25 16:00,GEAR_42,0,200,200,200
2022.5.25 17:00,GEAR_21,0,250,150,200
2022.5.25 20:00,GEAR_42,0,400,200,200
2022.5.26 8:00,GEAR_42,400,400,0,400
2022.5.26 8:00,GEAR_21,100,250,0,100
2022.5.26 11:00,GEAR_21,0,50,150,100
2022.5.26 12:00,GEAR_42,0,0,200,400
2022.5.26 14:00,GEAR_21,0,200,150,100
2022.5.26 16:00,GEAR_42,0,0,200,400
2022.5.26 17:00,GEAR_21,0,350,150,100
2022.5.26 20:00,GEAR_42,0,200,200,400
2022.5.27 8:00,GEAR_21,300,350,0,300
2022.5.27 8:00,GEAR_42,200,200,0,200
2022.5.27 11:00,GEAR_21,0,0,150,300
2022.5.27 12:00,GEAR_42,0,0,200,200
2022.5.27 14:00,GEAR_21,0,0,150,300
2022.5.27 16:00,GEAR_42,0,200,200,200
2022.5.27 17:00,GEAR_21,0,150,150,300
2022.5.27 20:00,GEAR_42,0,400,200,200
2022.5.30 8:00,GEAR_21,150,150,0,150
2022.5.30 8:00,GEAR_42,400,400,0,400
2022.5.30 11:00,GEAR_21,0,0,150,150
2022.5.30 12:00,GEAR_42,0,0,200,400
2022.5.30 14:00,GEAR_21,0,150,150,150
2022.5.30 16:00,GEAR_42,0,0,200,400
2022.5.30 17:00,GEAR_21,0,300,150,150
2022.5.30 20:00,GEAR_42,0,200,200,400
2022.5.31 8:00,GEAR_42,400,200,0,400
2022.5.31 8:00,GEAR_21,100,300,0,100
2022.5.31 11:00,GEAR_21,0,50,150,100
2022.5.31 12:00,GEAR_42,0,0,200,400
2022.5.31 14:00,GEAR_21,0,200,150,100
2022.5.31 16:00,GEAR_42,0,0,200,400
2022.5.31 17:00,GEAR_21,0,350,150,100
2022.5.31 20:00,GEAR_42,0,200,200,400
2022.6.1 8:00,GEAR_21,100,350,0,100
2022.6.1 8:00,GEAR_42,100,200,0,100
2022.6.1 11:00,GEAR_21,0,50,150,100
2022.6.1 12:00,GEAR_42,0,100,200,100
2022.6.1 14:00,GEAR_21,0,200,150,100
2022.6.1 16:00,GEAR_42,0,300,200,100
2022.6.1 17:00,GEAR_21,0,350,150,100
2022.6.1 20:00,GEAR_42,0,500,200,100
